Team  League  Built  Size  Payroll  Wins  Attendance  BA  ERA  HR  Errors  SB  Year  Average Player Salary
Arizona Diamondbacks NL 1998 49,033 60.7 65 2.06 0.250 4.81 180 102 86 1989  512,930 
Atlanta Braves NL 1996 50,091 84.4 91 2.51 0.258 3.56 139 126 63 1990 578,930 
Baltimore Orioles AL 1992 48,876 81.6 66 1.73 0.259 4.59 133 105 76 1991 891,188 
Boston Red Sox AL 1912 39,928 162.7 89 3.05 0.268 4.20 211 111 68 1992 1,084,408 
Chicago Cubs NL 1914 41,118 146.9 75 3.06 0.257 4.18 149 126 55 1993 1,120,254 
Chicago White Sox AL 1991 40,615 108.3 88 2.19 0.268 4.09 177 103 160 1994 1,188,679 
Cincinnati Reds NL 2003 42,059 72.4 91 2.06 0.272 4.01 188 72 93 1995 1,071,029 
Cleveland Indians AL 1994 43,345 61.2 69 1.39 0.248 4.30 128 110 91 1996 1,176,967 
Colorado Rockies NL 1995 50,445 84.2 83 2.88 0.263 4.14 173 101 99 1997 1,383,578 
Detroit Tigers AL 2000 41,782 122.9 81 2.46 0.268 4.30 152 109 69 1998 1,441,406 
Florida Marlins NL 1987 36,331 55.6 80 1.54 0.254 4.08 152 123 92 1999 1,720,050 
Houston Astros NL 2000 40,950 92.4 76 2.33 0.247 4.09 108 103 100 2000 1,988,034 
Kansas City Royals AL 1973 40,793 72.3 67 1.62 0.274 4.97 121 121 115 2001 2,264,403 
Los Angeles Angels AL 1966 45,050 105.0 80 3.25 0.248 4.04 155 113 104 2002 2,383,235 
Los Angeles Dodgers NL 1962 56,000 94.9 80 3.56 0.252 4.01 120 98 92 2003 2,555,476 
Milwaukee Brewers NL 2001 42,200 81.1 77 2.78 0.262 4.58 182 101 81 2004 2,486,609 
Minnesota Twins AL 2010 40,000 97.6 94 3.22 0.273 3.95 142 78 68 2005 2,632,655 
New York Mets NL 2009 45,000 132.7 79 2.56 0.249 3.70 128 87 130 2006 2,866,544 
New York Yankees AL 2009 52,325 206.3 95 3.77 0.267 4.06 201 69 103 2007 2,944,556 
Oakland Athletics AL 1966 34,077 51.7 81 1.42 0.256 3.56 109 99 156 2008 3,154,845 
Philadelphia Phillies NL 2004 43,647 141.9 97 3.65 0.260 3.67 166 83 108 2009 3,240,206 
Pittsburgh Pirates NL 2001 38,496 34.9 57 1.61 0.242 5.00 126 127 87 2010 3,297,828 
San Diego Padres NL 2004 42,445 37.8 90 2.13 0.246 3.39 132 72 124 
San Francisco Giants NL 2000 41,503 97.8 92 3.04 0.257 3.36 162 73 55 
Seattle Mariners AL 1999 47,116 98.4 61 2.09 0.236 3.93 101 110 142 
St. Louis Cardinals NL 2006 49,660 93.5 86 3.30 0.263 3.57 150 99 79 
Tampa Bay Rays AL 1990 36,048 71.9 96 1.84 0.247 3.78 160 85 172 
Texas Rangers AL 1994 49,115 55.3 90 2.51 0.276 3.93 162 105 123 
Toronto Blue Jays AL 1989 50,516 62.7 85 1.63 0.248 4.22 257 92 58 
Washington Nationals NL 2008 41,888 61.4 69 1.83 0.250 4.13 149 127 110
